file_path,timestamp,workflow_total_cost,workflow_total_tokens,blob_count,metadata_entries,size_reduction
orka_trace_20250713_143008.json,20250713_143008,0.012538,10452,36,0,260881
orka_trace_20250713_143345.json,20250713_143345,0.013781999999999999,11716,37,0,391260
orka_trace_20250713_143718.json,20250713_143718,0.012432,11173,37,0,492130
orka_trace_20250713_144045.json,20250713_144045,0.012015,11011,36,0,535929
orka_trace_20250713_144407.json,20250713_144407,0.013301,11425,37,0,570636
orka_trace_20250713_144729.json,20250713_144729,0.012956,11798,37,0,606224
orka_trace_20250713_145104.json,20250713_145104,0.013283999999999999,11725,39,0,698841
orka_trace_20250713_145433.json,20250713_145433,0.013312,11668,40,0,752743
orka_trace_20250713_145752.json,20250713_145752,0.012857,11372,40,0,797511
orka_trace_20250713_150128.json,20250713_150128,0.014131999999999999,12085,37,0,832565
orka_trace_20250713_150221.json,20250713_150221,0.0,0,4,0,296963
