file_path,timestamp,agent_type,blob_key,response_length,argument_count,evidence_count,logical_connectors,complexity_score,clarity_score,novelty_score,coherence_score,overall_quality
orka_trace_20250713_143008.json,20250713_143008,progressive,368777755a1b5dd3414b9f62062f2874cfe45c58653418c83160ab0333c2ca86,1092,3,1,0,2.1,2.2448979591836733,7.346938775510204,0.0,2.748299319727891
orka_trace_20250713_143008.json,20250713_143008,progressive,fe2bd86f1fe128988a0d538b89aaa52c6a1a714f25b4d5d087a6e60841a5ec8e,895,3,2,0,1.9666666666666668,1.7699115044247788,8.053097345132743,0.0,0.5899705014749262
orka_trace_20250713_143008.json,20250713_143008,progressive,53d7e35e34ac4e9a67f68c2d4412448150465692c96167d0cd235dbd3ec5fa43,781,3,1,0,1.8166666666666669,1.9230769230769231,8.269230769230768,0.0,0.6410256410256411
orka_trace_20250713_143008.json,20250713_143008,purist,ff1fca0ef4d6786caec2f7e2c9b925d77f2e1bd6315a6c7e73de837c4e15f1d3,580,3,1,0,1.85,1.3513513513513513,8.91891891891892,0.0,1.7837837837837835
orka_trace_20250713_143008.json,20250713_143008,progressive,a25065e6ac5d6ab144c05d4b112beebf2d4f863f38cca28abb93bcd312a6135a,514,0,0,1,1.1333333333333333,2.0588235294117645,8.823529411764707,10,4.186274509803922
orka_trace_20250713_143008.json,20250713_143008,progressive,c4166b1d2e2cd1780a46d81e66b14f2dcc0ca557bc9c5804e4a80aa574268a26,818,0,0,1,1.6,2.1875,8.4375,10,4.229166666666667
orka_trace_20250713_143008.json,20250713_143008,progressive,1273f609415f9b2f1373c601b21044ba81bd1cc7e20e47d8f0711ba1e79cefcc,543,0,2,0,1.24,1.129032258064516,9.67741935483871,0.0,0.3763440860215053
orka_trace_20250713_143008.json,20250713_143008,progressive,f0c0b276d430f3ae4e075b1ba4d0d97854f6cb92dcf6333cb2beee3ab2bdb855,1109,0,1,0,1.577777777777778,1.6901408450704225,7.816901408450704,0.0,0.5633802816901409
orka_trace_20250713_143345.json,20250713_143345,progressive,dd519c41cb4ac708cc793c24b367b5f9d07031557b8fac70ab6e69e417d2f298,1131,3,1,0,1.7444444444444442,1.8471337579617833,7.261146496815286,0.0,2.6157112526539277
orka_trace_20250713_143345.json,20250713_143345,progressive,192a6240518c59a1e4ea29d4f3ca1f1687f64d3b204d527ad7aa09a36c5a040a,1170,3,2,0,2.357142857142857,1.875,6.875,0.0,0.625
orka_trace_20250713_143345.json,20250713_143345,progressive,0a54d016d71942993dfd0df278ac101c7152bebc007a80abc5ee7b076c9c3c6c,940,3,1,0,1.7285714285714284,1.322314049586777,7.8512396694214885,0.0,2.440771349862259
orka_trace_20250713_143345.json,20250713_143345,purist,510dd8366e3bdae8444a64117b9e00a039cb0fc328f304c75acc7cd08aebb41a,876,3,1,0,2.975,1.7647058823529413,7.73109243697479,0.0,1.9215686274509804
orka_trace_20250713_143345.json,20250713_143345,progressive,a18157c219a86541ac6dc8893ec60b81dda1fd9dfff91dac54d81b1b80d93b9a,839,0,1,0,1.375,1.1818181818181819,8.363636363636363,0.0,0.393939393939394
orka_trace_20250713_143345.json,20250713_143345,progressive,dbdb821b20e49a2e74faa598d9d2a38e67fa7a9255e72f36f517f565dd2d1060,786,0,1,0,1.8800000000000001,1.702127659574468,8.404255319148938,0.0,0.5673758865248227
orka_trace_20250713_143345.json,20250713_143345,progressive,724c25b07c67e1fe1c371563d1f570a80df4b2280a7d4cf1a24c8dd83582ad6d,482,0,1,0,1.22,1.4754098360655736,9.508196721311474,0.0,0.4918032786885245
orka_trace_20250713_143345.json,20250713_143345,progressive,e622345cd3a7da51506a12a4739edb12c351cbb0ad04b7d68c383bba9da89ce6,612,0,1,0,1.52,1.3157894736842104,9.210526315789473,0.0,0.43859649122807015
orka_trace_20250713_143718.json,20250713_143718,progressive,7df850cff547aa6d64f038f6f097899e7cdf2cdb64c5ea86fafd85edf8721179,1145,3,1,0,1.711111111111111,2.214765100671141,7.046979865771812,0.0,0.738255033557047
orka_trace_20250713_143718.json,20250713_143718,progressive,046e817af4856cad6ac5e72dda6735671549c83e4854ea8d0887b01f3c45d6f0,706,3,1,0,1.6333333333333333,1.4285714285714284,7.857142857142857,0.0,2.4761904761904763
orka_trace_20250713_143718.json,20250713_143718,progressive,413619b63d5f10a6811fe47cf001dc6e015347be1d2a0f7ddea1e91cf8412f4f,792,3,1,0,1.7166666666666668,1.4563106796116503,8.252427184466018,0.0,2.4854368932038837
orka_trace_20250713_143718.json,20250713_143718,purist,13dc38ee34953ed996b00767eee450e7bab29026ce14a7eb25dee7a04df52ea1,1169,3,1,0,1.925,1.2080536912751678,8.120805369127517,0.0,0.4026845637583893
orka_trace_20250713_143718.json,20250713_143718,progressive,c46c7a1a118c056414816769d399ca6daede72cf6ecb78046de608b4ef5d5735,770,0,2,1,1.65,2.0202020202020203,8.484848484848484,0.0,0.8400673400673401
orka_trace_20250713_143718.json,20250713_143718,progressive,23698f4236b474052785f203f12768114620862862e763d816d4c6601f55bb6c,559,0,1,0,1.46,2.4657534246575343,8.356164383561644,0.0,0.8219178082191781
orka_trace_20250713_143718.json,20250713_143718,progressive,0047fe617aebadb3867adea239c2df115ae9a773d2df186d97a97f6b0d94407f,425,0,1,0,1.375,1.6363636363636362,9.454545454545455,0.0,0.5454545454545454
orka_trace_20250713_143718.json,20250713_143718,progressive,9a8af4ebe920afa3f618ebe10ea2f37dbda71dd32f837b140bb04e857139c448,623,0,1,0,1.5,1.7333333333333334,8.933333333333334,0.0,0.5777777777777778
orka_trace_20250713_144045.json,20250713_144045,progressive,2392f1debad1de68383b881fe722a0d39e0035a1c5001a294cbf747a9b502b2c,1086,2,1,0,2.433333333333333,1.9718309859154928,7.394366197183099,0.0,0.6572769953051643
orka_trace_20250713_144045.json,20250713_144045,progressive,372a856f49045bb46bf337e373b8c46a85037a71be665095a1a357d6a187fcd3,881,3,2,0,2.0166666666666666,1.896551724137931,7.844827586206896,0.0,0.632183908045977
orka_trace_20250713_144045.json,20250713_144045,progressive,74752a0a3739066d6261f61330ace64516af8189bbe27ab58a3ec05a78d18609,684,3,1,0,2.966666666666667,1.6091954022988506,8.390804597701148,0.0,0.5363984674329502
orka_trace_20250713_144045.json,20250713_144045,purist,6ea97f666c31f35f137961dd4c1421e0ebefffb6ceeff18ea2e06f862301ba59,942,3,1,0,1.8428571428571427,1.7829457364341086,7.829457364341085,0.0,1.9276485788113693
orka_trace_20250713_144045.json,20250713_144045,progressive,01a89adbc6db9bb5fdad5b6f92bfe63d39e0c3222e1ad4fae85aa8c07b1a062a,349,0,1,0,1.5,1.777777777777778,9.11111111111111,0.0,0.5925925925925927
orka_trace_20250713_144045.json,20250713_144045,progressive,1dae7b2e10c4dc8e49e6fcf1636ecef2b32a40e2fff8b046b3ceb206ee3b5457,527,0,1,0,1.22,1.1475409836065573,9.180327868852459,0.0,0.3825136612021858
orka_trace_20250713_144045.json,20250713_144045,progressive,1d09516b69aeaf81d99920497bdaff342adb03b607e9db2bf51b50862f2cde8d,452,0,1,0,1.1400000000000001,1.9298245614035086,8.947368421052632,0.0,0.6432748538011696
orka_trace_20250713_144045.json,20250713_144045,progressive,a2105a350063bd94cb49265d81ade48f10c1144c76b31dd1b80455ca5a85bc57,387,0,1,0,1.225,1.2244897959183674,9.591836734693878,0.0,0.40816326530612246
orka_trace_20250713_144407.json,20250713_144407,progressive,d2195921fb6cdcdebc579fab41b1d66c07a697b4eca65ccb731ef312c9ee60a2,890,3,1,0,2.825,1.592920353982301,8.141592920353983,0.0,2.5309734513274336
orka_trace_20250713_144407.json,20250713_144407,progressive,4f51c2c190f6f9f4d35c19d8f068024d586aa1c70abe44837dfa22a6f7b08cb5,1063,3,1,0,2.085714285714286,1.8493150684931505,7.534246575342466,0.0,2.6164383561643834
orka_trace_20250713_144407.json,20250713_144407,progressive,a5350f2ec1bc647f88a5692392f500366dc8ffd8c471963188c7e3a23c7126c2,612,2,1,0,1.5,0.9859154929577464,8.873239436619718,0.0,0.32863849765258213
orka_trace_20250713_144407.json,20250713_144407,purist,04670be28bfa8835c07148986daf6d45dac19dfa58a5d162a9703a89f9e4a21e,774,3,1,0,2.675,1.8691588785046729,8.037383177570094,0.0,1.956386292834891
orka_trace_20250713_144407.json,20250713_144407,progressive,18e607d607d95d81e657e5ce5f0066130a9a84d78c8efe8283af5a292801c3e8,1408,0,1,0,1.5,1.6111111111111112,7.944444444444444,0.0,0.5370370370370371
orka_trace_20250713_144407.json,20250713_144407,progressive,dc3ab7fba2debfa336e02beec61ed90e869fe5bafdc0c467f4eeedcb4ec1b014,815,0,0,0,1.2375,1.4141414141414141,8.787878787878787,0.0,0.4713804713804714
orka_trace_20250713_144407.json,20250713_144407,progressive,8cf5cf969e946bcf7ea44f3f650045b4b42e1ba0e7feadb3eb84c111e472e2cc,894,0,3,0,1.7,1.4705882352941178,8.92156862745098,0.0,0.4901960784313726
orka_trace_20250713_144407.json,20250713_144407,progressive,86ece45caf92257b5fd35cb312f05e94c718829480d35503a74a5c94181ea420,907,0,0,1,1.222222222222222,1.2727272727272725,8.727272727272727,10,3.9242424242424243
orka_trace_20250713_144729.json,20250713_144729,progressive,719486799345c4e661e2d0cdd92498cb90412618a81e956b9efa46eb18213582,542,3,1,0,1.1333333333333333,1.3235294117647058,8.529411764705882,0.0,2.441176470588235
orka_trace_20250713_144729.json,20250713_144729,progressive,9b4ea71d8cec0495a1f16034a44ea9a7ddcfab826b8b0b04bb23eb51c5e7f67f,882,3,2,0,1.9666666666666668,1.9491525423728815,7.796610169491526,0.0,2.6497175141242937
orka_trace_20250713_144729.json,20250713_144729,progressive,69b601f541a71fe08e5aa576a95c9335e3dbf522aa776e22b325cdad6bbf21a5,716,3,1,0,1.5666666666666667,1.5730337078651684,8.876404494382022,0.0,0.5243445692883895
orka_trace_20250713_144729.json,20250713_144729,purist,50fa5f7a339897897517618400b503f1f24e2d4af682b165023c23b6eeb55206,906,3,1,0,2.44,1.8032786885245902,7.4590163934426235,0.0,1.9344262295081966
orka_trace_20250713_144729.json,20250713_144729,progressive,d6f3cfb64a55a18b078262c04f2ed6699cf1d40d8f1fbf2402077ad21a12d574,557,0,1,0,1.775,2.112676056338028,8.873239436619718,0.0,0.704225352112676
