file_path,timestamp,loop_number,agent_count,unique_agents,total_tokens,total_cost,avg_latency,models_used,agents_involved
orka_trace_20250713_143008.json,20250713_143008,0,8,2,10452,0.012538,33211.325,deepseek-r1:32b,progressive | purist
orka_trace_20250713_143345.json,20250713_143345,0,8,2,11716,0.013781999999999999,36507.755,deepseek-r1:32b,progressive | purist
orka_trace_20250713_143718.json,20250713_143718,0,8,2,11173,0.012432,32931.433750000004,deepseek-r1:32b,progressive | purist
orka_trace_20250713_144045.json,20250713_144045,0,8,2,11011,0.012015,31925.77,deepseek-r1:32b,progressive | purist
orka_trace_20250713_144407.json,20250713_144407,0,8,2,11425,0.013301,35231.75625,deepseek-r1:32b,progressive | purist
orka_trace_20250713_144729.json,20250713_144729,0,8,2,11798,0.012956,34320.82124999999,deepseek-r1:32b,progressive | purist
orka_trace_20250713_145104.json,20250713_145104,0,8,4,11725,0.013283999999999999,35185.722499999996,deepseek-r1:32b,progressive | realist | purist | conservative
orka_trace_20250713_145433.json,20250713_145433,0,8,2,11668,0.013312,35265.52875,deepseek-r1:32b,progressive | purist
orka_trace_20250713_145752.json,20250713_145752,0,8,2,11372,0.012857,34058.93375,deepseek-r1:32b,progressive | purist
orka_trace_20250713_150128.json,20250713_150128,0,8,2,12085,0.014131999999999999,37436.308750000004,deepseek-r1:32b,progressive | purist
